gradients,Complex,Simple
B-Density_per_100_shoots,0.0031±0.0417,-0.2446±0.0204
B-Gall_Height_mm,0.5631±0.0336,0.3473±0.0237
B-gall_individuals,0.0363±0.0401,-0.1227±0.0248
G-Density_per_100_shoots,0±8e-04,-0.0596±0.0101
G-Density_per_100_shoots-gall_individuals,0±6e-04,-0.0295±0.007
G-Gall_Height_mm,0.0789±0.0188,-0.1187±0.0129
G-Gall_Height_mm-Density_per_100_shoots,4e-04±0.006,0.0837±0.0075
G-Gall_Height_mm-gall_individuals,0.0051±0.0056,0.0419±0.0097
G-gall_individuals,3e-04±9e-04,-0.0148±0.0061
